hour,avg_risk_level
0,2.0886392009987516
1,2.0662020905923346
2,1.9987714987714988
3,2.10381861575179
4,2.073170731707317
5,2.013245033112583
6,1.994110718492344
7,2.0938586326767092
8,2.1108490566037736
9,2.0836277974087163
10,2.0284023668639053
11,2.085432639649507
12,2.0934466019417477
13,1.9951865222623346
14,2.0719602977667493
15,2.042027194066749
16,1.980952380952381
17,2.02647412755716
18,2.0617433414043584
19,2.0547445255474455
20,2.0407407407407407
21,2.0314685314685317
22,2.0749682337992374
23,2.0128654970760236
